person_id,title,firm,Calculated Duration
1090,"IT Specialist Manager, Database Administration Team Sr. Database Administrator Database Administrator Software Engineer Programmer/Analyst Research Assistant","Metropolitan Washington Airport Authority Metropolitan Washington Airports Authority Orizon Inc Titan Data Consultants Inc ProComp Software, Inc University of New Orleans",27
1091,"PROFESSIONAL MUSICIAN- Guitar Player Lead Engineer, Senior Architect, DBA III Senior Oracle Database Administrator Senior Database Administrator, Database Developer Database Administrator, Senior Database Administrator, Database Specialist Database Administrator, Oracle Financials System Administrator Technical Staff Member",Self Employed Molina Healthcare CITYGRID MEDIA NAPSTER.COM SONY PICTURES ENTERTAINMENT SARA LEE FRESH COMPUTER SCIENCES CORPORATION,40
1092,Database Administrator,Alpine Health Technologies,0
1093,SQL Server Database Administrator,A&E Consult,0
1094,Database Administrator Web-Developer,"Federal Home Loan Bank Food Pantry, MISA",0
1095,Database Administrator/Development Lead Senior Oracle Database Administrator Senior Oracle Database Administrator Database Administrator Programmer/Analyst/Development DBA Programmer/Analyst/Team Leader/development DBA,"Verizon Synteras LLC Diversified Systems Inc MCI WorldCom IRS Pragmatics, Inc",26
1096,Principal Database Engineer Consultant - DBA Applications Manager Senior Database Administrator Independent Consultant Decision Support Specialist Decision Support - Database Administrator,"E*TRADE Financial CDC - DISO Roman Catholic Diocese of Brooklyn HealthPlus, PHSP, Inc  Advica Health Resources, Inc VYTRA Health Care, Inc",32
1097,Senior Database Administrator / Consultant Database Administrator / Consultant Consultant Database Administrator / Consultant Integration Engineer / C++ & SQL Developer / Consultant System Analyst,"Artech Information Systems - IBM TCS - HOMEDEPOT.COM IBM.COM - Austin, TX CDI Corporation - Boulder, CO IBM.COM - Los Angeles, CA DSQ - CSK Corporation",23
1098,Database Administrator Database Developer Technical System Analyst Senior Design Engineer,LASERSHIP NAUGA Needles Royal Bank of Canada INSUN,30
1099,DATABASE ADMINISTRATOR/CNC ADMINISTRATOR DATABASE ADMINISTRATOR APPLICATION ANALYST TECHNICAL SUPPORT REPRESENTATIVE,Stoneridge Inc Dawn Food Products Inc Jack Henry & Associates Inc Audatex North America Inc,12
1100,Principal Consultant Lead Database Administrator Developer / Database Administrator Data Processing Manager Developer / Database Administrator Web Developer,"MariaDB Corporation Autodesk Gun Accessory Supply ABS Direct, Inc Apple Gold Coast Web Development",30
1101,Operational Database Administrator SQL Server DBA Assistant Manager SQL Server Database Administrator SQL Server Database Administrator,Police and Fire Federal Credit Union BHD Leon Bank APEC University Zanzibar Industries,18
